# delta    ubar_pos    ubar_neg
0.984000    0.068391    -0.633789
0.985000    0.064647    -0.628355
0.986000    0.060846    -0.622865
0.987000    0.056986    -0.617318
0.988000    0.053064    -0.611712
0.989000    0.049078    -0.606043
0.990000    0.045026    -0.600308
0.991000    0.040903    -0.594506
0.992000    0.036707    -0.588631
0.993000    0.032435    -0.582681
0.994000    0.028081    -0.576653
0.995000    0.023643    -0.570540
0.996000    0.019115    -0.564340
0.997000    0.014492    -0.558047
0.998000    0.009770    -0.551656
0.999000    0.004941    -0.545160
1.000000    0.000000    -0.538553
1.001000    -0.005061    -0.531827
1.002000    -0.010251    -0.524975
1.003000    -0.015578    -0.517987
1.004000    -0.021053    -0.510853
1.005000    -0.026687    -0.503561
1.006000    -0.032494    -0.496097
1.007000    -0.038489    -0.488448
1.008000    -0.044690    -0.480594
1.009000    -0.051117    -0.472516
1.010000    -0.057793    -0.464189
1.011000    -0.064749    -0.455584
1.012000    -0.072019    -0.446668
1.013000    -0.079645    -0.437397
1.014000    -0.087679    -0.427719
1.015000    -0.096191    -0.417565
1.016000    -0.105267    -0.406848
1.017000    -0.115028    -0.395448
1.018000    -0.125642    -0.383197
1.019000    -0.137360    -0.369843
1.020000    -0.150587    -0.354981
1.021000    -0.166060    -0.337875
1.022000    -0.185428    -0.316875
1.023000    -0.214801    -0.285872
1.024000    0.000000    0.000000
1.025000    0.000000    0.000000
1.026000    0.000000    0.000000
1.027000    0.000000    0.000000
1.028000    0.000000    0.000000
1.029000    0.000000    0.000000
1.030000    0.000000    0.000000
1.031000    0.000000    0.000000
1.032000    0.000000    0.000000
1.033000    0.000000    0.000000
1.034000    0.000000    0.000000
1.035000    0.000000    0.000000
1.036000    0.000000    0.000000
1.037000    0.000000    0.000000
1.038000    0.000000    0.000000
1.039000    0.000000    0.000000
1.040000    0.000000    0.000000
1.041000    0.000000    0.000000
1.042000    0.000000    0.000000
1.043000    0.000000    0.000000
1.044000    0.000000    0.000000
1.045000    0.000000    0.000000
1.046000    0.000000    0.000000
1.047000    0.000000    0.000000
1.048000    0.000000    0.000000
1.049000    0.000000    0.000000
1.050000    0.000000    0.000000
1.051000    0.000000    0.000000
1.052000    0.000000    0.000000
1.053000    0.000000    0.000000
1.054000    0.000000    0.000000
1.055000    0.000000    0.000000
1.056000    0.000000    0.000000
1.057000    0.000000    0.000000
1.058000    0.000000    0.000000
1.059000    0.000000    0.000000
1.060000    0.000000    0.000000
1.061000    0.000000    0.000000
1.062000    0.000000    0.000000
1.063000    0.000000    0.000000
1.064000    0.000000    0.000000
1.065000    0.000000    0.000000
1.066000    0.000000    0.000000
1.067000    0.000000    0.000000
1.068000    0.000000    0.000000
1.069000    0.000000    0.000000
1.070000    0.000000    0.000000
1.071000    0.000000    0.000000
1.072000    0.000000    0.000000
1.073000    0.000000    0.000000
1.074000    0.000000    0.000000
1.075000    0.000000    0.000000
1.076000    0.000000    0.000000
1.077000    0.000000    0.000000
1.078000    0.000000    0.000000
1.079000    0.000000    0.000000
1.080000    0.000000    0.000000
1.081000    0.000000    0.000000
1.082000    0.000000    0.000000
1.083000    0.000000    0.000000
1.084000    0.000000    0.000000
1.085000    0.000000    0.000000
1.086000    0.000000    0.000000
1.087000    0.000000    0.000000
1.088000    0.000000    0.000000
1.089000    0.000000    0.000000
1.090000    0.000000    0.000000
1.091000    0.000000    0.000000
1.092000    0.000000    0.000000
1.093000    0.000000    0.000000
1.094000    0.000000    0.000000
1.095000    0.000000    0.000000
1.096000    0.000000    0.000000
1.097000    0.000000    0.000000
1.098000    0.000000    0.000000
1.099000    0.000000    0.000000
1.100000    0.000000    0.000000
